route_id,bus_id,route_name,departure_time
0,0,RED_Rithala to Dilshad Garden,328.47
0,1,RED_Rithala to Dilshad Garden,335.63
0,10,RED_Rithala to Dilshad Garden,400.13
0,100,RED_Rithala to Dilshad Garden,1008.4
2,1000,YELLOW_Huda City Centre to Samaypur Badli,1106.68
19,10000,RED_Shaheed Sthal (New Bus Adda) to Rithala,961.97
19,10001,RED_Shaheed Sthal (New Bus Adda) to Rithala,970.17
19,10002,RED_Shaheed Sthal (New Bus Adda) to Rithala,978.37
19,10003,RED_Shaheed Sthal (New Bus Adda) to Rithala,986.57
19,10004,RED_Shaheed Sthal (New Bus Adda) to Rithala,994.77
19,10005,RED_Shaheed Sthal (New Bus Adda) to Rithala,1002.97
19,10006,RED_Shaheed Sthal (New Bus Adda) to Rithala,1011.17
19,10007,RED_Shaheed Sthal (New Bus Adda) to Rithala,1019.37
19,10008,RED_Shaheed Sthal (New Bus Adda) to Rithala,1027.57
19,10009,RED_Shaheed Sthal (New Bus Adda) to Rithala,1034.57
2,1001,YELLOW_Huda City Centre to Samaypur Badli,1111.62
19,10010,RED_Shaheed Sthal (New Bus Adda) to Rithala,1041.57
19,10011,RED_Shaheed Sthal (New Bus Adda) to Rithala,1048.57
19,10012,RED_Shaheed Sthal (New Bus Adda) to Rithala,1055.57
19,10013,RED_Shaheed Sthal (New Bus Adda) to Rithala,1062.57
19,10014,RED_Shaheed Sthal (New Bus Adda) to Rithala,1069.57
19,10015,RED_Shaheed Sthal (New Bus Adda) to Rithala,1076.57
19,10016,RED_Shaheed Sthal (New Bus Adda) to Rithala,1083.57
19,10017,RED_Shaheed Sthal (New Bus Adda) to Rithala,1090.57
19,10018,RED_Shaheed Sthal (New Bus Adda) to Rithala,1097.57
19,10019,RED_Shaheed Sthal (New Bus Adda) to Rithala,1104.57
2,1002,YELLOW_Huda City Centre to Samaypur Badli,1116.55
19,10020,RED_Shaheed Sthal (New Bus Adda) to Rithala,1111.57
19,10021,RED_Shaheed Sthal (New Bus Adda) to Rithala,1118.57
19,10022,RED_Shaheed Sthal (New Bus Adda) to Rithala,1125.57
19,10023,RED_Shaheed Sthal (New Bus Adda) to Rithala,1132.57
19,10024,RED_Shaheed Sthal (New Bus Adda) to Rithala,1139.57
19,10025,RED_Shaheed Sthal (New Bus Adda) to Rithala,1146.57
19,10026,RED_Shaheed Sthal (New Bus Adda) to Rithala,1153.57
19,10027,RED_Shaheed Sthal (New Bus Adda) to Rithala,1160.57
19,10028,RED_Shaheed Sthal (New Bus Adda) to Rithala,1167.57
19,10029,RED_Shaheed Sthal (New Bus Adda) to Rithala,1174.57
2,1003,YELLOW_Huda City Centre to Samaypur Badli,1121.48
19,10030,RED_Shaheed Sthal (New Bus Adda) to Rithala,1181.57
19,10031,RED_Shaheed Sthal (New Bus Adda) to Rithala,1188.57
19,10032,RED_Shaheed Sthal (New Bus Adda) to Rithala,1195.57
19,10033,RED_Shaheed Sthal (New Bus Adda) to Rithala,1202.57
19,10034,RED_Shaheed Sthal (New Bus Adda) to Rithala,1209.57
19,10035,RED_Shaheed Sthal (New Bus Adda) to Rithala,1216.57
19,10036,RED_Shaheed Sthal (New Bus Adda) to Rithala,1223.57
19,10037,RED_Shaheed Sthal (New Bus Adda) to Rithala,1230.57
19,10038,RED_Shaheed Sthal (New Bus Adda) to Rithala,1237.57
19,10039,RED_Shaheed Sthal (New Bus Adda) to Rithala,1244.57
2,1004,YELLOW_Huda City Centre to Samaypur Badli,1126.42
19,10040,RED_Shaheed Sthal (New Bus Adda) to Rithala,1251.57
19,10041,RED_Shaheed Sthal (New Bus Adda) to Rithala,1258.57
19,10042,RED_Shaheed Sthal (New Bus Adda) to Rithala,1265.57
19,10043,RED_Shaheed Sthal (New Bus Adda) to Rithala,1273.77
19,10044,RED_Shaheed Sthal (New Bus Adda) to Rithala,1281.97
19,10045,RED_Shaheed Sthal (New Bus Adda) to Rithala,1290.17
19,10046,RED_Shaheed Sthal (New Bus Adda) to Rithala,1298.37
19,10047,RED_Shaheed Sthal (New Bus Adda) to Rithala,1306.57
19,10048,RED_Shaheed Sthal (New Bus Adda) to Rithala,1314.77
19,10049,RED_Shaheed Sthal (New Bus Adda) to Rithala,1322.97
2,1005,YELLOW_Huda City Centre to Samaypur Badli,1131.35
19,10050,RED_Shaheed Sthal (New Bus Adda) to Rithala,1331.17
19,10051,RED_Shaheed Sthal (New Bus Adda) to Rithala,1339.37
19,10052,RED_Shaheed Sthal (New Bus Adda) to Rithala,1347.57
19,10053,RED_Shaheed Sthal (New Bus Adda) to Rithala,1355.77
19,10054,RED_Shaheed Sthal (New Bus Adda) to Rithala,1363.97
19,10055,RED_Shaheed Sthal (New Bus Adda) to Rithala,1372.17
19,10056,RED_Shaheed Sthal (New Bus Adda) to Rithala,1380.37
19,10057,RED_Shaheed Sthal (New Bus Adda) to Rithala,1388.57
19,10058,RED_Shaheed Sthal (New Bus Adda) to Rithala,1396.77
2,1006,YELLOW_Huda City Centre to Samaypur Badli,1136.28
2,1007,YELLOW_Huda City Centre to Samaypur Badli,1141.22
2,1008,YELLOW_Huda City Centre to Samaypur Badli,1146.15
2,1009,YELLOW_Huda City Centre to Samaypur Badli,1151.08
0,101,RED_Rithala to Dilshad Garden,1015.57
2,1010,YELLOW_Huda City Centre to Samaypur Badli,1156.02
2,1011,YELLOW_Huda City Centre to Samaypur Badli,1160.95
2,1012,YELLOW_Huda City Centre to Samaypur Badli,1165.88
2,1013,YELLOW_Huda City Centre to Samaypur Badli,1170.82
2,1014,YELLOW_Huda City Centre to Samaypur Badli,1175.75
2,1015,YELLOW_Huda City Centre to Samaypur Badli,1180.68
2,1016,YELLOW_Huda City Centre to Samaypur Badli,1185.62
2,1017,YELLOW_Huda City Centre to Samaypur Badli,1190.55
2,1018,YELLOW_Huda City Centre to Samaypur Badli,1195.48
20,10186,YELLOW_Samaypur Badli to Huda City Centre,350.33
20,10187,YELLOW_Samaypur Badli to Huda City Centre,356.07
20,10188,YELLOW_Samaypur Badli to Huda City Centre,361.8
20,10189,YELLOW_Samaypur Badli to Huda City Centre,367.53
2,1019,YELLOW_Huda City Centre to Samaypur Badli,1200.42
20,10190,YELLOW_Samaypur Badli to Huda City Centre,373.27
20,10191,YELLOW_Samaypur Badli to Huda City Centre,379.0
20,10192,YELLOW_Samaypur Badli to Huda City Centre,384.73
20,10193,YELLOW_Samaypur Badli to Huda City Centre,390.47
20,10194,YELLOW_Samaypur Badli to Huda City Centre,396.2
20,10195,YELLOW_Samaypur Badli to Huda City Centre,401.93
20,10196,YELLOW_Samaypur Badli to Huda City Centre,407.67
20,10197,YELLOW_Samaypur Badli to Huda City Centre,413.4
20,10198,YELLOW_Samaypur Badli to Huda City Centre,419.13
20,10199,YELLOW_Samaypur Badli to Huda City Centre,424.87
0,102,RED_Rithala to Dilshad Garden,1022.73
2,1020,YELLOW_Huda City Centre to Samaypur Badli,1205.35
20,10200,YELLOW_Samaypur Badli to Huda City Centre,430.6
20,10201,YELLOW_Samaypur Badli to Huda City Centre,436.33
20,10202,YELLOW_Samaypur Badli to Huda City Centre,442.07
20,10203,YELLOW_Samaypur Badli to Huda City Centre,447.8
20,10204,YELLOW_Samaypur Badli to Huda City Centre,453.53
20,10205,YELLOW_Samaypur Badli to Huda City Centre,459.27
20,10206,YELLOW_Samaypur Badli to Huda City Centre,465.0
20,10207,YELLOW_Samaypur Badli to Huda City Centre,470.73
20,10208,YELLOW_Samaypur Badli to Huda City Centre,476.47
20,10209,YELLOW_Samaypur Badli to Huda City Centre,482.2
2,1021,YELLOW_Huda City Centre to Samaypur Badli,1210.28
20,10210,YELLOW_Samaypur Badli to Huda City Centre,487.13
20,10211,YELLOW_Samaypur Badli to Huda City Centre,492.07
20,10212,YELLOW_Samaypur Badli to Huda City Centre,497.0
20,10213,YELLOW_Samaypur Badli to Huda City Centre,501.93
20,10214,YELLOW_Samaypur Badli to Huda City Centre,506.87
20,10215,YELLOW_Samaypur Badli to Huda City Centre,511.8
20,10216,YELLOW_Samaypur Badli to Huda City Centre,516.73
20,10217,YELLOW_Samaypur Badli to Huda City Centre,521.67
20,10218,YELLOW_Samaypur Badli to Huda City Centre,526.6
20,10219,YELLOW_Samaypur Badli to Huda City Centre,531.53
2,1022,YELLOW_Huda City Centre to Samaypur Badli,1215.22
20,10220,YELLOW_Samaypur Badli to Huda City Centre,536.47
20,10221,YELLOW_Samaypur Badli to Huda City Centre,541.4
20,10222,YELLOW_Samaypur Badli to Huda City Centre,546.33
20,10223,YELLOW_Samaypur Badli to Huda City Centre,551.27
20,10224,YELLOW_Samaypur Badli to Huda City Centre,556.2
20,10225,YELLOW_Samaypur Badli to Huda City Centre,561.13
20,10226,YELLOW_Samaypur Badli to Huda City Centre,566.07
20,10227,YELLOW_Samaypur Badli to Huda City Centre,571.0
20,10228,YELLOW_Samaypur Badli to Huda City Centre,575.93
20,10229,YELLOW_Samaypur Badli to Huda City Centre,580.87
2,1023,YELLOW_Huda City Centre to Samaypur Badli,1220.15
20,10230,YELLOW_Samaypur Badli to Huda City Centre,585.8
20,10231,YELLOW_Samaypur Badli to Huda City Centre,590.73
20,10232,YELLOW_Samaypur Badli to Huda City Centre,595.67
20,10233,YELLOW_Samaypur Badli to Huda City Centre,600.6
20,10234,YELLOW_Samaypur Badli to Huda City Centre,605.53
20,10235,YELLOW_Samaypur Badli to Huda City Centre,610.47
20,10236,YELLOW_Samaypur Badli to Huda City Centre,615.4
20,10237,YELLOW_Samaypur Badli to Huda City Centre,620.33
20,10238,YELLOW_Samaypur Badli to Huda City Centre,625.27
20,10239,YELLOW_Samaypur Badli to Huda City Centre,630.2
2,1024,YELLOW_Huda City Centre to Samaypur Badli,1225.08
20,10240,YELLOW_Samaypur Badli to Huda City Centre,635.13
20,10241,YELLOW_Samaypur Badli to Huda City Centre,640.07
20,10242,YELLOW_Samaypur Badli to Huda City Centre,645.0
20,10243,YELLOW_Samaypur Badli to Huda City Centre,649.93
20,10244,YELLOW_Samaypur Badli to Huda City Centre,654.87
20,10245,YELLOW_Samaypur Badli to Huda City Centre,659.8
20,10246,YELLOW_Samaypur Badli to Huda City Centre,664.73
20,10247,YELLOW_Samaypur Badli to Huda City Centre,669.67
20,10248,YELLOW_Samaypur Badli to Huda City Centre,674.6
20,10249,YELLOW_Samaypur Badli to Huda City Centre,679.53
2,1025,YELLOW_Huda City Centre to Samaypur Badli,1230.02
20,10250,YELLOW_Samaypur Badli to Huda City Centre,684.47
